node_count:375
1,6,-0.1272132546,1,2,-1
1,5,-1.2106847763,3,4,-1
1,0,1.9445202351,5,6,-1
1,3,-0.5803393722,7,8,-1
1,0,0.5158400536,9,10,-1
1,5,1.9132133722,11,12,-1
1,5,0.5894571841,13,14,-1
1,5,-1.2304377556,15,16,-1
1,2,1.4611834884,17,18,-1
1,2,-1.4173589349,19,20,-1
1,1,-0.0003674277,21,22,-1
1,4,-1.1977289319,23,24,-1
1,3,-0.7727508247,25,26,-1
1,2,0.9851976335,27,28,-1
1,6,0.3826405704,29,30,-1
1,0,-0.7943354845,31,32,-1
0,-1,-1,-1,-1,1
1,6,-0.3347316086,33,34,-1
0,-1,-1,-1,-1,0
1,3,-0.8088276386,35,36,-1
1,1,1.5042504072,37,38,-1
1,3,2.3298442364,39,40,-1
1,5,0.5373680294,41,42,-1
1,5,-0.3688492328,43,44,-1
1,2,0.5194657743,45,46,-1
1,6,1.5155162811,47,48,-1
1,3,1.0488564372,49,50,-1
1,1,-0.4578842074,51,52,-1
1,4,-0.9681477547,53,54,-1
0,-1,-1,-1,-1,1
0,-1,-1,-1,-1,0
1,1,0.5808680952,55,56,-1
1,2,0.5887445509,57,58,-1
0,-1,-1,-1,-1,1
0,-1,-1,-1,-1,1
0,-1,-1,-1,-1,0
1,5,0.6509071290,59,60,-1
1,4,-1.0114102364,61,62,-1
1,0,-0.6196129918,63,64,-1
1,5,-0.8019853234,65,66,-1
1,2,0.1913135499,67,68,-1
1,5,-0.8097423613,69,70,-1
1,6,-1.0302801728,71,72,-1
1,2,1.4492707849,73,74,-1
0,-1,-1,-1,-1,1
1,4,2.2891906500,75,76,-1
1,1,-0.0044878002,77,78,-1
0,-1,-1,-1,-1,0
0,-1,-1,-1,-1,2
1,1,-0.6634373665,79,80,-1
0,-1,-1,-1,-1,1
0,-1,-1,-1,-1,1
1,3,2.2650528550,81,82,-1
0,-1,-1,-1,-1,1
0,-1,-1,-1,-1,0
1,6,-0.8601848781,83,84,-1
0,-1,-1,-1,-1,0
0,-1,-1,-1,-1,0
1,4,-0.6818808019,85,86,-1
1,1,2.5796293020,87,88,-1
1,4,1.4752684236,89,90,-1
1,3,0.2692254335,91,92,-1
1,1,-0.8817866445,93,94,-1
1,4,-0.5587169528,95,96,-1
1,6,-1.4176405072,97,98,-1
1,6,-0.3329100013,99,100,-1
1,0,1.5363444090,101,102,-1
1,4,-0.4751252234,103,104,-1
1,6,-0.4553166628,105,106,-1
1,1,0.4057489634,107,108,-1
1,0,4.1909840107,109,110,-1
0,-1,-1,-1,-1,2
1,0,1.8953990340,111,112,-1
0,-1,-1,-1,-1,2
0,-1,-1,-1,-1,2
1,6,1.0023821592,113,114,-1
1,0,-0.6976508796,115,116,-1
1,0,1.1707616448,117,118,-1
1,3,-0.8932844400,119,120,-1
1,1,-1.8947430253,121,122,-1
1,2,-1.4843127131,123,124,-1
1,4,-0.6593870819,125,126,-1
0,-1,-1,-1,-1,1
0,-1,-1,-1,-1,0
1,6,-0.1987626627,127,128,-1
